@relation R_data_frame

@attribute score_rank numeric
@attribute price numeric
@attribute Strategy numeric
@attribute Multiplayer numeric
@attribute Action numeric
@attribute COOP numeric
@attribute Early_Access numeric
@attribute Open_World numeric
@attribute Adventure numeric
@attribute Indie numeric
@attribute Casual numeric
@attribute Horror numeric
@attribute Puzzle numeric
@attribute Platformer numeric
@attribute Two_Dimensional numeric
@attribute Pixel_Graphics numeric
@attribute Point_And_Click numeric
@attribute VR numeric
@attribute likely_to_succeed numeric

@data
93,799,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1
98,1499,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1
93,1999,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
84,999,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
65,999,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1
52,3999,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
50,149,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
93,1999,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
35,1999,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0
95,999,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0
17,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
56,1999,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
54,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1
93,1999,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1
98,3999,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
93,1499,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
77,1999,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
80,2999,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
56,999,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0
5,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1
87,5999,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1
41,5999,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
84,5999,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
59,999,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
32,1999,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
28,1999,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1999,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1499,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0
7,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1
90,2999,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
95,1999,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
84,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
43,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
90,999,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
90,999,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
87,1299,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
90,1999,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
56,799,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
67,1499,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0
80,1499,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
95,1499,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0
87,1999,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1
34,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0
70,999,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
70,1999,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1
67,1999,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1
45,1999,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
54,1499,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
80,999,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0
87,999,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
84,1999,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,1
73,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
59,999,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
54,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0
80,1999,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
45,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
90,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
98,999,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
73,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
90,899,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
93,999,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
87,1999,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
93,999,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0
12,3999,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
90,999,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1
25,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
14,5999,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
14,5999,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
29,2999,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1
43,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1
84,1999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
84,1999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,499,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
56,1499,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
84,3999,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
87,1499,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
93,999,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1
67,999,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
4,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
80,1499,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0
16,5999,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
77,1999,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
70,999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1
39,499,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
31,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
35,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
28,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
87,5999,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1
90,1999,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1
87,1999,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1
67,5999,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1
43,999,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1
77,1999,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1
80,999,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
90,299,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1
90,1499,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1
31,5999,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
62,999,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1
93,1499,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0
80,1999,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1
34,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
45,5999,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
73,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1
70,699,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
