"","score_rank","average_forever","price","Strategy","Multiplayer","Action","RPG","Simulation","Adventure","Singleplayer","Indie","Casual","Atmospheric","Great Soundtrack","Puzzle","2D"
"292",45,"[203,  246)",0,1,1,1,0,1,0,1,0,0,0,0,0,0
"293",90,"[931,41947]",0,0,1,1,1,0,1,1,0,0,1,1,0,0
"294",98,"[317,  475)",999,1,1,1,1,0,1,1,1,0,0,1,0,0
"295",73,"[ 67,  123)",0,0,0,0,0,1,1,1,1,1,0,0,0,1
"296",90,"[475,  931)",899,1,0,1,0,1,0,1,0,0,1,1,1,0
"297",93,"[317,  475)",999,0,1,1,0,0,1,1,1,0,0,0,0,0
"298",87,"[931,41947]",1999,1,1,1,0,1,1,1,0,0,0,1,0,0
"299",93,"[317,  475)",999,0,0,1,0,0,1,1,1,0,0,1,0,0
"300",12,"[931,41947]",3999,1,1,1,0,1,1,1,0,0,1,0,0,0
"301",90,"[931,41947]",999,0,1,1,1,0,0,1,1,0,0,1,0,1
"302",25,"[931,41947]",0,1,1,1,1,0,0,1,0,0,0,0,0,0
"303",14,"[475,  931)",5999,0,1,1,0,0,0,1,0,0,0,0,0,0
"304",14,"[931,41947]",5999,0,1,1,0,0,0,1,0,0,0,0,0,0
"305",29,"[475,  931)",2999,1,0,1,1,0,1,1,0,0,1,0,0,0
"306",43,"[475,  931)",0,1,1,1,1,0,1,1,0,1,0,0,0,0
"307",84,"[931,41947]",1999,1,1,0,0,1,0,1,0,0,0,1,0,0
"308",84,"[931,41947]",1999,1,1,0,0,1,0,1,0,0,0,1,0,0
"309",45,"[123,  165)",499,0,1,1,1,0,1,1,0,0,0,1,0,0
"310",56,"[317,  475)",1499,0,1,1,1,0,1,1,1,0,0,0,0,0
"311",84,"[931,41947]",3999,1,1,0,1,1,0,1,0,0,0,1,0,0
"312",87,"[931,41947]",1499,0,0,1,1,0,1,1,1,0,0,0,0,0
"313",93,"[317,  475)",999,0,0,1,0,0,0,1,1,1,0,1,1,0
"314",67,"[203,  246)",999,1,1,1,1,1,1,1,1,0,0,0,0,0
"315",4,"[ 67,  123)",0,0,1,1,0,0,1,1,1,1,0,0,0,0
"316",80,"[246,  317)",1499,1,1,1,0,0,1,1,1,1,0,1,0,1
"317",16,"[931,41947]",5999,0,1,1,0,1,0,1,0,0,1,1,0,0
"318",77,"[931,41947]",1999,0,1,1,0,0,1,1,0,0,1,1,0,0
"319",70,"[317,  475)",999,1,0,0,0,1,0,1,0,0,1,1,0,0
"320",13,"[475,  931)",0,1,1,1,0,0,1,1,0,0,0,0,0,0
"321",39,"[ 67,  123)",499,1,1,1,0,1,1,1,0,0,0,0,0,0
"322",31,"[317,  475)",0,1,1,1,0,0,0,1,0,1,0,0,0,0
"323",35,"[ 67,  123)",0,0,0,1,1,0,0,1,1,0,0,0,0,0
